CTRPGM CTRSAN
EXTBUCH 2.004
EXTBUCH 2.006
EXTBUCH 2.008
EXTBUCH 2.010
EXTBUCH 2.014
EXTBUCH 2.080
EXZI 2
EXZI 60.802
EXZI 99.902
FARBE 1
FA1010 10.000
FA2990 10
FA2990 30.000
FA50AA 1
FA50AA 2
FA50AA 3
FA50AA 4
FA50AA 5
FA50AA 6
FA50AA 7
FA50AA 8
FA50AA 10
FA50AA 11
FA50AA 12
FA50AA 99
FA50AE 2
FA50AE 10
FA50RL 1
FA50RL 2
FA50RL 3
FA50RL 4
FA50RL 5
FA50RL 6
FA50RL 7
FA50RL 8
FA50RL 9
FA50RL 10
FA50RL 11
FA50RL 12
FA50RL 13
FA50RL 14
FA50RL 15
FA50RL 16
FA50RL 21
FA50RL 22
FA50RL 23
FA50RL 100
FA50RL 200
FA50RL 300
FA50VAUF 10.000
FA50VAUF 11.000
FA50VAUF 12.000
FA50VAUF 20.000
FA50VDEB 10.000
FA50VDEB 11.000
FA50VDEB 11.608
FA50VDEB 12.000
FA50VDEB 19.000
FA50VDEB 20.000
FA50VKRE 10.000
FA50VKRE 10.608
FA50VKRE 11.000
FA50VKRE 12.000
FA50VKRE 19.000
FA50VKRE 20.000
FA50VKST 10.000
FA50VKST 11.000
FA50VKST 12.000
FA50VKST 20.000
FA50VNPK 10.000
FA50VNPK 11.000
FA50VNPK 12.000
FA50VNPK 19.000
FA50VNPK 20.000
FA50VNUM 10.000
FA50VNUM 11.000
FA50VNUM 11.608
FA50VNUM 12.000
FA50VNUM 20.000
FA50VOBJ 10.000
FA50VOBJ 11.000
FA50VOBJ 12.000
FA50VOBJ 20.000
FA50VPKT 10.000
FA50VPKT 10.011
FA50VPKT 10.017
FA50VPKT 11.000
FA50VPKT 12.000
FA50VPKT 19.000
FA50VPKT 20.000
FA50VSKT 10.000
FA50VSKT 10.011
FA50VSKT 10.608
FA50VSKT 10.615
FA50VSKT 11.000
FA50VSKT 12.000
FA50VSKT 20.000
FA50VVBD 10.000
FA50VVBD 11.000
FA50VVBD 12.000
FA50VVBD 20.000
FA50VVTR 10.000
FA50VVTR 11.000
FA50VVTR 12.000
FA50VVTR 20.000
FA50ZI 1
FA50ZI 10.000
FA5000 10
FA5000 20
FA5000 30
FA5000 10.011
FA5000 11.011
FA5000 19.000
FA5000 20.000
FA5000 20.011
FA5000 20.400
FA5000 20.608
FA5000 21.000
FA5000 21.011
FA5000 21.609
FA5000 22.000
FA5000 22.011
FA5000 23.000
FA5000 23.011
FA5000 24.011
FA5000 25.000
FA5000 26.000
FA5000 30.000
FA5000 30.608
FA5000 30.609
FA5001 10
FA5001 11
FA5001 10.000
FA5002 10
FA5002 11
FA5002 12
FA5002 20
FA5005 10
FA5005 11
FA5005 12
FA5005 13
FA5005 20
FA5005 30
FA5005 40
FA5005 41
FA5005 100
FA5005 10.000
FA5005 70.091
FA5005 70.092
FA5005 70.093
FA5005 70.094
FA5005 70.095
FA5027 30.000
FA5027 30.011
FA5029 10
FA5029 12
FA5029 14
FA5029 16
FA5040 3
FA8855 10
FBDFLOG 10
FBDOBJP 1
FBIEXCL 10.000
FBMBUAS 1
FBMDBUP 1
FBMEXTE 1
FBMPKTO 1
FBMPKTO 2
FBNACHT 10
FBNACHT 20
FBNACHT 1.000
FBNACHT 1.010
FBNACHT 1.020
FBNACHT 2.000
FBNACHT 2.010
FBNACHT 2.020
FBNACHT 2.900
FBNACHT 3.002
FBNACHT 3.003
FBNACHT 3.010
FBNACHT 3.011
FBNACHT 3.012
FBNACHT 10.000
FBNACHT 10.010
FBNACHT 10.020
FBNACHT 10.030
FBNACHT 10.040
FBNACHT 10.050
FBNACHT 10.060
FBNACHT 70.000
FBRGZFIL 10.001
FBSCLRL 10
FBSCLRL 20
FBSCLRL 30
FBSDSPF 10.000
FBSDSPF 11.000
FBSINT 10
FBSINT 30.000
FBSMC 1.006
FBSMC 1.007
FBSMC 1.008
FBSMC 1.009
FBSMC 1.106
FBSMC 1.107
FBSMC 1.108
FBSMC 1.109
FBSMC 1.206
FBSMC 1.207
FBSMC 1.208
FBSMC 1.209
FBSMC 1.306
FBSMC 1.307
FBSMC 1.308
FBSMC 1.309
FBSMC 1.406
FBSMC 1.407
FBSMC 1.408
FBSMC 1.409
FBSMC 1.506
FBSMC 1.507
FBSMC 1.508
FBSMC 1.509
FBSMC 1.706
FBSMC 1.707
FBSMC 1.708
FBSMC 1.709
FBVKOST 1
FBVKOST 2
FBVKOST 3
FBVKOST 4
FBVKOST 5
FBVKOST 6
FBVKOST 7
FBVKOST 8
FBVKOST 9
FBVKOST 10
FBVPKTO 1
FBVPKTO 2
FBVPKTO 3
FBVPKTO 5
FBVPKTO 6
FBVPKTO 10
FB1010 1
FB1010 2
FB1010 3
FB1100 1
FB1100 90.001
FB1100 99.001
FB1106 100
FB1200 10.001
FB1200 10.002
FB1200 10.003
FB1200 10.009
FB1200 10.010
FB1200 10.011
FB1200 10.012
FB1200 10.013
FB1200 10.015
FB1200 10.016
FB1200 10.017
FB1200 10.019
FB1200 10.020
FB1200 10.021
FB1200 10.022
FB1200 10.023
FB1200 10.024
FB1200 10.030
FB1200 10.033
FB1200 10.100
FB1200 10.101
FB1200 10.102
FB1200 10.200
FB1200 10.300
FB1200 20.000
FB1200 20.001
FB1200 20.002
FB1200 30.001
FB1200 30.002
FB1200 70.010
FB1240 10
FB1240 100
FB1240 101
FB1240 102
FB1240 103
FB1240 104
FB1240 105
FB1240 106
FB1313 1
FB1338 1
FB1500 1
FB1500 2
FB1500 3
FB1500 4
FB1800 10.000
FB1810 10.000
FB1810 10.001
FB1810 10.003
FB4100 10.000
FB4100 30.003
FB4405 1
FB4405 3
FB4405 4
FB4405 10.000
FB4405 10.010
FB4405 30.004
FB4405 70.001
FB4408A 10.000
FB4500 1
FB4500 2
FB4500 3
FB4500 4
FB4500 5
FB4500 10.000
FB4580 10.000
FB4580 10.001
FB4580 10.002
FB4580 20.000
FB4600 10.000
FB4600 10.001
FB4600 20.000
FB4600 20.001
FB4600 30.000
FB4600 31.000
FB5051 10.000
FB5600A 1.001
FB5610A 10.000
FB5610A 10.608
FB5610A 20.000
FB5610A 30.000
FB5610A 40.000
FB5610A 50.000
FB5610A 60.000
FB5699 10
FB5700A 1.001
FB5710A 10.000
FB5710A 10.608
FB5710A 20.000
FB5780 10.000
FB5799 10
FB6020 1
FB6021 1
FB7E01 101
FB7E01 102
FB7110 10.001
FB7110E4 10.000
FB7603DG 1
FB7665T 100
FB9300 1
FB9300 10
FB9300 20
FB9300 30
FB9300 100
FCI 1
FCI 2
FCI 10
FCI 100
FCI 101
FCI 110
FCI 121
FCI 122
FCI 123
FCI 124
FCI 125
FCI 126
FCI 200
FCI 210
FCI 211
FCI 212
FCI 213
FCI 214
FCI 215
FCI 216
FCI 220
FCI 301
FCI 302
FCI 303
FCI 304
FCI 305
FCI 306
FCI 307
FCI 400
FCI 10.010
FCI 10.011
FD4581 10.001
FD4583 10.001
FD4584 10.000
FD4584 10.001
FD4585 10.020
FD4585 10.030
FD4585 10.031
FD4594 10.000
FD4594 10.010
FD4594 10.020
FD4594 10.021
FD4594 10.100
FD5050 1
FD5100 1
FD5100 2
FIBSCH 10.000
FIBSCH 20.000
FIBSCH 30.000
FIBSCH 40.000
FIBSCH 40.010
FIBSCH 40.020
FIBSCH 40.100
FIBSCH 40.200
FIBSCH 50.000
FIBSCH 70.000
FIBSCH 80.000
FIBSCH 80.050
FIBSCH 80.051
FIBSCH 80.052
FIBSCH 80.100
